date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-01-01,-11.1,-14.3,-6.6,0,0,295,21,,,
2018-01-02,-7.8,-11,-2.7,0,0,251,23,,,
2018-01-03,-6.8,-12.1,-1,0,0,,9,,,
2018-01-04,-3.7,-7.7,-1.6,18,0,258,37,,,
2018-01-05,-9.2,-12.7,-7.7,0,180,280,36,,,
2018-01-06,-11.7,-14.3,-9.9,0,180,285,27,,,
2018-01-07,-12.4,-15.5,-7.7,0,150,,17,,,
2018-01-08,-5.9,-8.8,-0.5,0,150,224,17,,,
2018-01-09,0.8,-4.9,6.7,0,130,280,18,,,
2018-01-10,0.8,-4.3,4.4,0,80,,7,,,
2018-01-11,5.3,2.2,10.6,0,30,,2,,,
2018-01-12,11.7,5.6,17.8,14,0,129,14,,,
2018-01-13,7.2,-7.7,16.1,1.5,0,,28,,,
2018-01-14,-6.6,-9.3,-2.7,0,0,203,23,,,
2018-01-15,-5.8,-9.3,0,0,0,,17,,,
2018-01-16,-1.6,-5.5,3.3,0,0,,9,,,
2018-01-17,0.8,-6,2.2,5.8,0,,17,,,
2018-01-18,-4,-8.2,1.7,0,0,314,18,,,
2018-01-19,-1.5,-6.6,3.9,0,0,,14,,,
2018-01-20,4.6,0,12.8,0,0,248,20,,,
2018-01-21,6.4,1.1,12.8,0,0,,8,,,
2018-01-22,7.8,3.9,10.6,0.3,0,,9,,,
2018-01-23,8.8,3.9,16.7,6.4,0,190,17,,,
2018-01-24,5.7,-2.7,6.7,0,0,,25,,,
2018-01-25,-1.5,-4.9,2.2,0,0,,22,,,
2018-01-26,-0.8,-6.6,4.4,0,0,,8,,,
2018-01-27,4.2,-2.1,13.9,0,0,,16,,,
2018-01-28,10.7,5.6,12.2,5.1,0,,11,,,
2018-01-29,5.8,1.7,7.2,0,0,33,19,,,
2018-01-30,1.2,-4.3,2.8,1.3,30,277,20,,,
2018-01-31,-3.7,-8.2,0.6,0,0,,17,,,
2018-02-01,2.2,-0.5,7.2,0.5,0,,10,,,
2018-02-02,0.8,-8.2,5,3.6,0,306,30,,,
2018-02-03,-5.7,-9.9,0,0,0,248,18,,,
2018-02-04,0.6,-1.6,5,20.6,0,,12,,,
2018-02-05,2.1,-4.3,5,0,0,,19,,,
