STATION,DATE,HLY-PRES-NORMAL,HLY-TEMP-NORMAL
USW00013881,01-01T01:00:00,1020.6,4
USW00013881,01-01T02:00:00,1020.6,3.7
USW00013881,01-01T03:00:00,1020.7,3.4
USW00013881,01-01T04:00:00,1020.5,3.1
USW00013881,01-01T05:00:00,1020.5,2.8
USW00013881,01-01T06:00:00,1020.8,2.6
USW00013881,01-01T07:00:00,1021.2,2.4
USW00013881,01-01T08:00:00,1021.6,2.4
USW00013881,01-01T09:00:00,1022,3.8
USW00013881,01-01T10:00:00,1022.5,5.5
USW00013881,01-01T11:00:00,1022.4,6.9
USW00013881,01-01T12:00:00,1021.6,8.2
USW00013881,01-01T13:00:00,1020.6,9.1
USW00013881,01-01T14:00:00,1020,9.7
USW00013881,01-01T15:00:00,1019.7,10.1
USW00013881,01-01T16:00:00,1019.7,10.1
USW00013881,01-01T17:00:00,1020,9.3
USW00013881,01-01T18:00:00,1020.3,7.9
USW00013881,01-01T19:00:00,1020.7,7.1
USW00013881,01-01T20:00:00,1021,6.4
USW00013881,01-01T21:00:00,1021.1,5.9
USW00013881,01-01T22:00:00,1021.1,5.4
USW00013881,01-01T23:00:00,1021.1,4.9
USW00013881,01-02T00:00:00,1021.3,4
USW00013881,01-02T01:00:00,1020.7,4
USW00013881,01-02T02:00:00,1020.6,3.7
USW00013881,01-02T03:00:00,1020.7,3.4
USW00013881,01-02T04:00:00,1020.5,3.1
USW00013881,01-02T05:00:00,1020.5,2.8
USW00013881,01-02T06:00:00,1020.8,2.6
USW00013881,01-02T07:00:00,1021.2,2.4
USW00013881,01-02T08:00:00,1021.6,2.4
USW00013881,01-02T09:00:00,1022.1,3.9
USW00013881,01-02T10:00:00,1022.5,5.5
USW00013881,01-02T11:00:00,1022.4,7
USW00013881,01-02T12:00:00,1021.6,8.2
USW00013881,01-02T13:00:00,1020.6,9.1
USW00013881,01-02T14:00:00,1020,9.8
USW00013881,01-02T15:00:00,1019.7,10.2
USW00013881,01-02T16:00:00,1019.7,10.2
USW00013881,01-02T17:00:00,1020,9.4
USW00013881,01-02T18:00:00,1020.3,8
USW00013881,01-02T19:00:00,1020.7,7.1
USW00013881,01-02T20:00:00,1021,6.4
USW00013881,01-02T21:00:00,1021.1,6
USW00013881,01-02T22:00:00,1021.1,5.5
USW00013881,01-02T23:00:00,1021.1,4.9
USW00013881,01-03T00:00:00,1021.1,4.1
USW00013881,01-03T01:00:00,1020.6,4.1
USW00013881,01-03T02:00:00,1020.6,3.7
USW00013881,01-03T03:00:00,1020.6,3.4
USW00013881,01-03T04:00:00,1020.5,3.2
USW00013881,01-03T05:00:00,1020.5,2.9
USW00013881,01-03T06:00:00,1020.8,2.7
USW00013881,01-03T07:00:00,1021.1,2.5
USW00013881,01-03T08:00:00,1021.6,2.5
USW00013881,01-03T09:00:00,1022,3.9
USW00013881,01-03T10:00:00,1022.4,5.5
USW00013881,01-03T11:00:00,1022.4,7
USW00013881,01-03T12:00:00,1021.6,8.2
USW00013881,01-03T13:00:00,1020.6,9.2
USW00013881,01-03T14:00:00,1019.9,9.8
USW00013881,01-03T15:00:00,1019.6,10.2
USW00013881,01-03T16:00:00,1019.7,10.2
USW00013881,01-03T17:00:00,1020,9.4
USW00013881,01-03T18:00:00,1020.3,8
USW00013881,01-03T19:00:00,1020.7,7.2
USW00013881,01-03T20:00:00,1020.9,6.4
USW00013881,01-03T21:00:00,1021,6
USW00013881,01-03T22:00:00,1021,5.5
USW00013881,01-03T23:00:00,1021,4.9
USW00013881,01-04T00:00:00,1020.9,4.1
USW00013881,01-04T01:00:00,1020.5,4.1
USW00013881,01-04T02:00:00,1020.5,3.7
USW00013881,01-04T03:00:00,1020.6,3.5
USW00013881,01-04T04:00:00,1020.4,3.2
USW00013881,01-04T05:00:00,1020.4,2.9
USW00013881,01-04T06:00:00,1020.7,2.6
USW00013881,01-04T07:00:00,1021,2.5
USW00013881,01-04T08:00:00,1021.5,2.5
USW00013881,01-04T09:00:00,1021.9,3.9
USW00013881,01-04T10:00:00,1022.3,5.5
USW00013881,01-04T11:00:00,1022.3,7
USW00013881,01-04T12:00:00,1021.5,8.2
USW00013881,01-04T13:00:00,1020.5,9.2
